Year,Hydroelectric power,"Wind, wave, tidal [note1]",Solar photovoltaic,Landfill gas,Biogas,Liquid bio-fuels,Energy from renewable & waste sources,Percentage from renewable sources and waste
1990,0.448,0.001,0.00,0.08,0.00,0.0,1.730,0.80
1991,0.398,0.001,0.00,0.11,0.00,0.0,1.716,0.01
1992,0.467,0.003,0.00,0.16,0.00,0.0,1.900,0.01
1993,0.370,0.019,0.00,0.16,0.00,0.0,2.103,0.01
1994,0.438,0.030,0.00,0.19,0.00,0.0,2.461,0.01
1995,0.416,0.034,0.00,0.20,0.00,0.0,2.524,0.01
1996,0.292,0.042,0.00,0.25,0.00,0.0,2.465,0.01
1997,0.378,0.057,0.00,0.32,0.00,0.0,2.471,0.01
1998,0.440,0.075,0.00,0.40,0.00,0.0,2.654,0.01
1999,0.459,0.073,0.00,0.57,0.00,0.0,2.856,0.01
2000,0.437,0.081,0.00,0.73,0.00,0.0,2.882,0.01
2001,0.348,0.083,0.00,0.84,0.00,0.0,3.005,0.01
2002,0.412,0.108,0.00,0.89,0.00,0.0,3.283,0.01
2003,0.278,0.111,0.00,1.09,0.00,0.0,3.519,0.01
2004,0.418,0.166,0.00,1.33,0.01,0.0,4.141,0.02
2005,0.423,0.250,0.00,1.42,0.01,0.2,5.020,0.02
2006,0.395,0.363,0.00,1.47,0.01,0.2,5.390,0.02
2007,0.437,0.453,0.00,1.55,0.01,0.1,5.440,0.02
2008,0.442,0.612,0.00,1.55,0.01,0.0,6.354,0.03
2009,0.450,0.798,0.00,1.63,0.02,0.0,6.895,0.03
2010,0.309,0.884,0.00,1.73,0.04,0.0,7.654,0.03
2011,0.489,1.373,0.02,1.76,0.09,0.0,8.514,0.04
2012,0.457,1.707,0.12,1.72,0.18,0.0,9.182,0.04
2013,0.400,2.442,0.17,1.71,0.25,0.1,10.861,0.05
2014,0.510,2.748,0.35,1.66,0.37,0.0,12.706,0.06
2015,0.540,3.463,0.65,1.61,0.52,0.0,15.168,0.08
2016,0.460,3.195,0.89,1.56,0.76,0.0,15.644,0.08
2017,0.506,4.268,0.99,1.42,0.93,0.0,17.436,0.09
2018,0.468,4.893,1.09,1.30,0.98,0.0,19.657,0.10
2019,0.510,5.489,1.07,0.88,0.80,0.0,20.755,0.11
2020,0.591,6.502,1.08,0.85,0.80,0.0,22.262,0.13
2021,0.466,5.582,1.04,0.81,0.89,0.0,21.729,0.13
2022,0.487,6.925,1.15,0.75,0.92,0.0,22.948,0.13
2023,0.476,7.077,1.19,0.73,0.96,0.0,23.110,0.14
